Date,Count
2014-12-09,3
2014-12-11,4
2014-12-12,2
2014-12-15,6
2014-12-16,3
2014-12-17,5
2014-12-18,2
2014-12-19,1
2014-12-20,1
2014-12-21,1
2014-12-22,4
2014-12-23,2
2014-12-24,4
2014-12-29,1
2014-12-30,1
2015-01-06,5
2015-01-07,1
2015-01-08,1
2015-01-09,3
2015-01-12,3
2015-01-13,2
2015-01-14,1
2015-01-15,1
2015-01-16,3
2015-01-19,4
2015-01-20,2
2015-01-21,4
2015-01-22,1
2015-01-23,2
2015-01-24,1
2015-01-25,1
2015-01-26,5
2015-01-27,4
2015-01-28,1
2015-01-29,3
2015-01-30,2
2015-02-01,2
2015-02-02,3
2015-02-03,7
2015-02-04,4
2015-02-05,5
2015-02-06,3
2015-02-09,5
2015-02-10,7
2015-02-11,2
2015-02-12,3
2015-02-13,1
2015-02-16,1
2015-02-17,2
2015-02-18,3
2015-02-19,5
2015-02-20,3
2015-02-23,4
2015-02-24,1
2015-02-25,4
2015-02-26,8
2015-02-27,2
2015-03-02,3
2015-03-03,2
2015-03-04,7
2015-03-05,2
2015-03-06,5
2015-03-07,1
2015-03-08,1
2015-03-09,3
2015-03-10,1
2015-03-11,4
2015-03-12,9
2015-03-13,4
2015-03-16,3
2015-03-17,4
2015-03-18,2
2015-03-19,7
2015-03-20,4
2015-03-23,3
2015-03-24,9
2015-03-25,5
2015-03-26,3
2015-03-27,6
2015-03-30,7
2015-04-01,5
2015-04-02,4
2015-04-03,4
2015-04-06,2
2015-04-07,7
2015-04-08,3
2015-04-09,2
2015-04-10,1
2015-04-11,2
2015-04-12,1
2015-04-13,5
2015-04-14,6
2015-04-15,5
2015-04-16,9
2015-04-17,6
2015-04-20,6
2015-04-21,2
2015-04-22,2
2015-04-23,3
2015-04-24,4
2015-04-27,4
2015-04-28,4
2015-04-29,4
2015-04-30,3
2015-05-01,3
2015-05-02,1
2015-05-04,8
2015-05-05,7
2015-05-06,6
2015-05-08,1
2015-05-11,5
2015-05-12,4
2015-05-13,3
2015-05-14,2
2015-05-15,5
2015-05-18,3
2015-05-19,6
2015-05-20,2
2015-05-21,6
2015-05-22,4
2015-05-25,4
2015-05-26,7
2015-05-27,4
2015-05-28,3
2015-05-29,2
2015-06-01,3
2015-06-02,3
2015-06-03,4
2015-06-04,1
2015-06-05,2
2015-06-09,6
2015-06-10,5
2015-06-11,2
2015-06-12,1
2015-06-14,1
2015-06-15,2
2015-06-16,2
2015-06-17,3
2015-06-19,1
2015-06-22,2
2015-06-23,4
2015-06-24,2
2015-06-25,2
2015-06-26,4
2015-06-27,1
2015-06-29,1
2015-07-01,1
2015-07-02,2
2015-07-03,2
2015-07-06,4
2015-07-07,2
2015-07-08,4
2015-07-09,2
2015-07-10,4
2015-07-13,4
2015-07-14,2
2015-07-15,4
2015-07-16,1
2015-07-17,2
2015-07-20,3
2015-07-21,2
2015-07-22,2
2015-07-23,3
2015-07-24,2
2015-07-27,4
2015-07-29,4
2015-07-30,5
2015-08-03,5
2015-08-04,1
2015-08-05,7
2015-08-06,4
2015-08-07,4
2015-08-10,4
2015-08-11,4
2015-08-12,3
2015-08-13,1
2015-08-14,4
2015-08-16,1
2015-08-17,2
2015-08-18,3
2015-08-19,1
2015-08-20,2
2015-08-21,1
2015-08-24,2
2015-08-25,5
2015-08-26,2
2015-08-27,2
2015-08-28,1
2015-08-31,2
2015-09-01,1
2015-09-02,1
2015-09-03,2
2015-09-04,2
2015-09-07,2
2015-09-08,2
2015-09-09,5
2015-09-10,5
2015-09-11,3
2015-09-15,2
2015-09-16,2
2015-09-17,6
2015-09-18,6
2015-09-19,2
2015-09-21,2
2015-09-22,2
2015-09-23,1
2015-09-28,5
2015-09-29,5
2015-09-30,2
2015-10-01,3
2015-10-02,2
2015-10-05,1
2015-10-06,3
2015-10-07,1
2015-10-08,2
2015-10-09,1
2015-10-12,5
2015-10-13,1
2015-10-14,4
2015-10-15,3
2015-10-16,2
2015-10-17,1
2015-10-19,2
2015-10-20,2
2015-10-21,1
2015-10-23,3
2015-10-26,1
2015-10-27,5
2015-10-28,1
2015-10-29,6
2015-10-30,2
2015-11-02,2
2015-11-03,4
2015-11-04,5
2015-11-05,3
2015-11-06,1
2015-11-09,2
2015-11-10,3
2015-11-11,4
2015-11-12,1
2015-11-13,3
2015-11-15,1
2015-11-16,3
2015-11-17,3
2015-11-18,5
2015-11-19,2
2015-11-20,5
2015-11-21,1
2015-11-23,4
2015-11-24,6
2015-11-25,4
2015-11-26,3
2015-11-27,2
2015-11-30,4
2015-12-01,2
2015-12-02,3
2015-12-03,2
2015-12-04,6
2015-12-07,3
2015-12-08,4
2015-12-09,1
2015-12-10,1
2015-12-11,4
2015-12-13,1
2015-12-14,4
2015-12-15,4
2015-12-16,8
2015-12-17,2
2015-12-18,2
2015-12-21,2
2015-12-22,2
2015-12-23,1
2015-12-29,2
2015-12-31,1
2016-01-04,3
2016-01-05,3
2016-01-06,2
2016-01-07,2
2016-01-11,5
2016-01-12,8
2016-01-13,2
2016-01-14,6
2016-01-15,1
2016-01-18,3
2016-01-19,2
2016-01-20,3
2016-01-21,2
2016-01-22,2
2016-01-23,1
2016-01-25,3
2016-01-26,2
2016-01-28,1
2016-01-29,3
2016-01-30,1
2016-02-01,5
2016-02-02,7
2016-02-03,4
2016-02-04,3
2016-02-05,1
2016-02-06,1
2016-02-08,2
2016-02-09,4
2016-02-10,7
2016-02-11,3
2016-02-12,3
2016-02-15,1
2016-02-16,4
2016-02-17,3
2016-02-18,1
2016-02-19,2
2016-02-22,3
2016-02-23,1
2016-02-24,5
2016-02-25,2
2016-02-26,3
2016-02-27,1
2016-02-29,5
2016-03-01,3
2016-03-03,6
2016-03-04,2
2016-03-05,1
2016-03-07,2
2016-03-08,4
2016-03-09,6
2016-03-10,7
2016-03-11,4
2016-03-13,2
2016-03-14,3
2016-03-15,3
2016-03-16,3
2016-03-17,8
2016-03-18,6
2016-03-21,6
2016-03-22,4
2016-03-23,6
2016-03-24,4
2016-03-25,3
2016-03-29,3
2016-03-30,13
2016-03-31,6
2016-04-01,3
2016-04-02,1
2016-04-04,7
2016-04-05,5
2016-04-06,5
2016-04-07,5
2016-04-08,7
2016-04-09,1
2016-04-10,1
2016-04-11,8
2016-04-12,8
2016-04-13,3
2016-04-14,2
2016-04-15,12
2016-04-17,1
2016-04-18,3
2016-04-19,5
2016-04-20,7
2016-04-21,4
2016-04-22,3
2016-04-24,1
2016-04-25,7
2016-04-26,11
2016-04-27,7
2016-04-28,5
2016-04-29,5
2016-05-02,5
2016-05-03,10
2016-05-04,9
2016-05-05,6
2016-05-06,2
2016-05-09,4
2016-05-10,10
2016-05-11,9
2016-05-12,7
2016-05-13,3
2016-05-14,1
2016-05-16,8
2016-05-17,11
2016-05-18,8
2016-05-19,5
2016-05-20,5
2016-05-22,1
2016-05-23,5
2016-05-24,4
2016-05-25,1
2016-05-26,12
2016-05-27,7
2016-05-30,1
2016-05-31,3
2016-06-01,6
2016-06-02,7
2016-06-03,5
2016-06-04,1
2016-06-06,7
2016-06-07,5
2016-06-08,4
2016-06-09,5
2016-06-10,3
2016-06-11,1
2016-06-13,4
2016-06-14,4
2016-06-15,4
2016-06-16,9
2016-06-17,4
2016-06-18,2
2016-06-20,5
2016-06-21,2
2016-06-22,6
2016-06-23,2
2016-06-24,8
2016-06-27,5
2016-06-28,1
2016-06-29,9
2016-06-30,1
2016-07-01,4
2016-07-03,1
2016-07-04,1
2016-07-05,4
2016-07-06,5
2016-07-07,2
2016-07-08,3
2016-07-10,1
2016-07-11,7
2016-07-12,4
2016-07-13,9
2016-07-14,1
2016-07-15,4
2016-07-18,4
2016-07-19,4
2016-07-20,7
2016-07-21,10
2016-07-22,4
2016-07-23,1
2016-07-25,8
2016-07-26,3
2016-07-27,9
2016-07-28,3
2016-07-29,3
2016-08-01,7
2016-08-02,5
2016-08-03,5
2016-08-04,6
2016-08-05,5
2016-08-07,3
2016-08-08,11
2016-08-09,8
2016-08-10,7
2016-08-11,4
2016-08-12,3
2016-08-14,1
2016-08-15,7
2016-08-16,9
2016-08-17,4
2016-08-18,4
2016-08-19,6
2016-08-21,1
2016-08-22,5
